"Sex","Age","NOTE","LHML","LHEB","LHHD","LHMLD","LHAPD","RHML","RHEB","RHHD","RHMLD","RHAPD","LRML","LRMLD","LRAPD","RRML","RRMLD","RRAPD","LFML","LFBL","LFEB","LFAB","LFHD","LFMLD","LFAPD","RFML","RFBL","RFEB","RFAB","RFHD","RFMLD","RFAPD","LTML","LTPB","LTMLD","LTAPD","RTML","RTPB","RTMLD","RTAPD","BIB","LIBL","RIBL","LAcH","RAcH","Brachial","Crural","IL UL/LL","IL LL/UL","CBR FHD","McH FHD","GRINE FHD","AVG FHD"
1,25,1,296,56,41.51,19.47,20.74,299,55,41.14,19.54,22.22,213,15.53,11.21,214.5,15.38,10.96,410,403,73.5,63.46,42.1,25.18,25.39,411,406,73,63.55,43.21,23.73,25.72,321,67,21.2,25.36,321,67,21.44,25.5,246.5,153,150,47.09,48.81,0.718487395,0.781973203,0.698906357,1.430806846,61.542927,55.604545,60.24154,59.12967067
0,29,1,350,62.5,48.75,22.93,20.81,350,64,48.14,24.09,23.16,249,16.25,12.67,253,15.64,12.49,468,466,78.5,68.98,48.72,28.73,28.17,465,462.5,80,69.91,49.36,28.93,29.36,378.5,74,22.79,27.25,377,74,22.89,25.11,281,158.5,156,55.25,55.08,0.717142857,0.809753483,0.711874445,1.404742097,71.566776,69.90056,74.72272,72.063352
1,43,1,250.5,51,39.73,17.57,17.13,255,52,39.49,17.59,17.44,186,12.9,9.48,186,10.87,9.24,349,348,67,57.58,38.3,25.68,21.26,342,341,67.5,57.34,37.99,26.58,22.29,290,63,20.16,22.69,292,64,22.13,22.03,254,150,151,41.12,43.28,0.735905045,0.842257598,0.689316575,1.450712251,51.695793,45.506655,50.01286,49.07176933
0,36,1,326,62,46.45,19.95,22.61,327,64,47.97,20.47,23.13,243,16.01,12.81,245,15.8,12.32,455,453,84,74.33,48.13,31.68,28.64,451,447,84,74.42,48.47,32.2,28.48,369,76.5,27.3,30.27,372,77,26.41,28.91,282,162,161,53.78,53.38,0.747320061,0.817880795,0.692774742,1.44347064,69.74127,68.2437,73.0444,70.34312333
1,33,1,310,49,41.09,16.76,16.27,311,49,40.7,16.65,17.26,230,12.81,9.89,231.5,13.33,10,436.5,433,72,63.63,43.02,25.07,24.39,440,432,71,62.09,42.83,23.18,24.55,356,67,18.26,21.77,350,68.5,18.51,21.46,272,162,161,48.3,47.36,0.7431562,0.805476326,0.684044234,1.461893764,62.132445,56.209075,60.8539,59.73180667
0,72,2,318,65,52.11,22.79,21.38,319,66,52.35,24.46,23.02,241.5,16.03,12.78,242,16.06,13.37,453,448.5,87,76.47,54.58,29.04,27.96,451.5,445,88.5,78.1,55.03,28.45,28.55,357,80,28.33,29.92,359,80,26.35,27.48,280.5,162,161,58.67,59.28,0.759026688,0.791597568,0.691453255,1.446229362,85.7884545,82.808395,87.79774,85.46486317
0,37,2,337,66,51.13,24.03,24.13,340,67,50.46,24.69,24.36,253,16.34,13.1,255,16.41,12.68,476,473.5,85,75.6,46.88,29.43,28.87,473,469,85,74.35,48.86,28.15,29.95,395,80,23.28,28.34,399.5,80,24.86,28.87,283,168,166,53.05,53.56,0.750369276,0.83719705,0.679667336,1.471308017,68.680503,67.28093,72.06916,69.343531
0,48,2,326,68.5,47.63,20.26,23.38,333,67.5,47.14,20.03,23.87,249,16.94,14.04,252,16.87,13.45,459,456,84.5,73.48,47.08,29.31,27.97,460,456.5,87,75.08,47.83,29.27,27.45,372,76,23.54,28.89,384,75,25.67,28.15,254.5,163,164,53,53.05,0.760242792,0.822633297,0.692537313,1.443965517,67.6567395,66.351745,71.12794,68.37880817
0,51,2,285,62,48.04,23.61,22.64,293,65,47.79,23.49,24.35,213.5,15.97,12.08,214,16.38,12.07,411.5,409,86,74.38,47.27,27.63,28.48,409,403,86.5,75.47,47.3,27.64,28.58,333,75.5,22.29,27.18,331,76,23.78,25.63,273.5,162,161,52.2,52.92,0.739619377,0.809262645,0.677332435,1.47637991,67.2373665,65.971115,70.74238,67.9836205
0,37,2,324.5,63,48.34,20.66,21.4,326,66,48.54,20.43,23.29,239,15.66,11.98,242.5,15.51,11.79,427,422.5,85,74.52,47.18,29.59,26.31,425,421,85,73.39,47.8,29.63,25.8,359,75.5,22.66,27,361,75,22.6,26.76,277,172,171,52.34,52.26,0.740199846,0.845070423,0.720101781,1.38869258,67.743081,66.43011,71.20732,68.46017033
0,40,2,316.5,62,46.14,20.6,21.14,321.5,61,45.25,19.59,22.62,229,13.76,12.18,231,13.44,11.4,408,404,79,69.13,44.83,30.75,22.74,408,405,78,67.78,45.5,30.42,26.22,350,71,21.07,26.89,348,72,23.49,26.34,268.5,152,151,48.74,49.15,0.721003135,0.855392157,0.725231176,1.378870674,62.0075385,61.224435,65.93422,63.05539783
0,50,2,343.5,69,53.29,21.06,25.32,348.5,72,52.53,21.23,26.23,257.5,18.04,13.37,253,16.22,14.37,468,462,89,78.59,52.17,31.79,32.52,464.5,459.5,90,79.9,51.2,31.47,30.96,370.5,81,28.62,30.36,372,82,29.47,29.84,295,174,171,57.46,55.54,0.737716763,0.796246649,0.717910448,1.392931393,78.0917265,75.822715,80.72158,78.21200717
0,47,2,331.5,64,46.96,21.96,24.04,337,64,46.71,20.38,24.07,242,17.03,12.8,242,17.26,13.75,470,466,80,71.77,45.08,29.58,29.84,466,463,80,71.84,45.67,29.45,31.76,381,76,24.98,30.83,372,74.5,25.66,27.82,275,163,165,51.5,51.58,0.724008975,0.804487179,0.682356424,1.465509761,62.5255875,61.694625,66.4105,63.54357083
